BBName1,City,State,Qty1,Value,Products,Brand,Supplier,Employee,Category
A J Hospital and Research Centre Blood Bank,Mangalore,Karnataka,370,58367.5,450 T CPDA,TerumoPenpal,Others,mohammed.asif@mipl.in,OTHERS
A J Hospital and Research Centre Blood Bank,Mangalore,Karnataka,290,40600,450 D SAGM,TerumoPenpal,Others,mohammed.asif@mipl.in,OTHERS
A.M.U.B.B,Aligarh,Uttar Pradesh,4000,692000,450 T SAGM,TerumoPenpal,NA,jitum.kumar@mipl.in,OTHERS
A.M.U.B.B,Aligarh,Uttar Pradesh,500,70000,450 D SAGM,TerumoPenpal,NA,jitum.kumar@mipl.in,OTHERS
A.M.U.B.B,Aligarh,Uttar Pradesh,1000,900000,450 Q SAGM TAB ILF,Fresenius,SSV Distributer Agra,jitum.kumar@mipl.in,ILF&LSF
A.S.N. Raju Charitable Trust Blood Centre,Bhimavaram,Andhra Pradesh,60,6270,450 D CPDA,Mipl,Soma Sai Medicals,sinderaviteja@mipl.in,OTHERS
A.S.N. Raju Charitable Trust Blood Centre,Bhimavaram,Andhra Pradesh,2,1200,500 LSF RBC,Mipl,Soma Sai Medicals,sinderaviteja@mipl.in,ILF&LSF
A.S.N. Raju Charitable Trust Blood Centre,Bhimavaram,Andhra Pradesh,80,13840,450 T SAGM,Mipl,Soma Sai Medicals,sinderaviteja@mipl.in,OTHERS
ACS General Hospital,Chennai,Tamil Nadu,70,12110,350 T SAGM ,TerumoPenpal,SR pharma,sudhir.kumar@mipl.in,OTHERS
ACS General Hospital,Chennai,Tamil Nadu,300,42000,350 D SAGM,TerumoPenpal,SR Pharma,sudhir.kumar@mipl.in,OTHERS
ADP Voluntary Blood Bank,Adoni,Andhra Pradesh,30,1620,350 SB CPDA,Polymed,Others,sinderaviteja@mipl.in,OTHERS
ADP Voluntary Blood Bank,Adoni,Andhra Pradesh,120,12540,450 D CPDA,Polymed,Others,sinderaviteja@mipl.in,OTHERS
ADRM Hospital Blood Bank,Hyderabad,Telangana,50,2700,350 SB CPDA,Mipl,SAI SRINIVASA MEDICALS,sinderaviteja@mipl.in,OTHERS
ADRM Hospital Blood Bank,Hyderabad,Telangana,60,6270,450 D CPDA,Mipl,SAI SRINIVASA MEDICALS,sinderaviteja@mipl.in,OTHERS
ADRM Hospital Blood Bank,Hyderabad,Telangana,50,7887.5,450 T CPDA,Mipl,SAI SRINIVASA MEDICALS,sinderaviteja@mipl.in,OTHERS
AG Padmavathi Hospital Blood Bank,Puducherry,Puducherry,100,15775,350 T CPDA,HLL,DSB diagnostics,sudhir.kumar@mipl.in,OTHERS
AG Padmavathi Hospital Blood Bank,Puducherry,Puducherry,200,28000,350 D SAGM,HLL,DSB diagnostics,sudhir.kumar@mipl.in,OTHERS
AIIMS,Rishikesh,Uttarakhand,200,28000,450 D SAGM,TerumoPenpal,,jitum.kumar@mipl.in,OTHERS
AIIMS,Rishikesh,Uttarakhand,200,34600,450 T SAGM,TerumoPenpal,,jitum.kumar@mipl.in,OTHERS
AIIMS,Rishikesh,Uttarakhand,800,214400,450 Q SAGM TAB PDS NPD,TerumoPenpal,,jitum.kumar@mipl.in,OTHERS
"AIIMS Hospital Blood Bank, Mangalgiri",Mangalgiri,Andhra Pradesh,200,46000,450 Q SAGM,TerumoPenpal,GEM,sinderaviteja@mipl.in,OTHERS
AIIMS hospital,Bhopal,Madhya Pradesh,100,80000,450 Q SAGM ILF TAT (TIB),HLL,Amrit pharmacy ,nagendra.singh@mipl.in,ILF&LSF
AIIMS hospital,Bhopal,Madhya Pradesh,10,8000,350 Q SAGM ILF TAT (TIB),Mipl,,nagendra.singh@mipl.in,ILF&LSF
AIIMS hospital,Bhopal,Madhya Pradesh,500,52250,350 D CPDA,Mipl,,nagendra.singh@mipl.in,OTHERS
AIIMS hospital,Raipur,Chhattisgarh,1000,230000,450 Q SAGM,Polymed,Saims ,nagendra.singh@mipl.in,OTHERS
AIIMS hospital,Raipur,Chhattisgarh,650,112450,350 T SAGM ,Mipl,Matushri Trading Company Bilaspur ,nagendra.singh@mipl.in,OTHERS
AKG Hospital,Kannur,Kerala,100,17300,450 T SAGM,TerumoPenpal,meridian biomedical engineering company,nahas.jamal@mipl.in,OTHERS
AKG Hospital,Kannur,Kerala,100,14000,450 D SAGM,TerumoPenpal,meridian biomedical engineering company,nahas.jamal@mipl.in,OTHERS
AKG Hospital,Kannur,Kerala,50,2700,100 SB CPDA,TerumoPenpal,meridian biomedical engineering company,nahas.jamal@mipl.in,OTHERS
AMRI Hospital Blood Bank,Khurda,Odhisa,5,4000,500 LSF PLT,Mipl,SARASWATI ENTERPRISERS,vikram.barik@mipl.in,ILF&LSF
AMRI Hospital Blood Bank,Khurda,Odhisa,30,18000,500 LSF RBC,Mipl,SARASWATI ENTERPRISERS,vikram.barik@mipl.in,ILF&LSF
